Compartment;biomass;production;respiration;egestion;consumption;input;output
Phytoplankton;545,25;218,1;77,2074;0;0;218,1;216,2646
Microphytobenthos;669;131,124;34,6167;0;0;131,124;100,2721474
Pel_Bacteria;172;61,92;245,7192;0,4128;308,052;0;61,55292
Zooplankton;23;1,3639;2,6726;3,3051;7,3416;0;0,6242
Ben_Bacteria;1100;172,7;191,8889;67,1611;431,75;0;0
Meiofauna;446;13,38;20,06;54,011;87,451;0;0
Peringia_ulvae;246,6126;0,9865;1,52;7,3581;9,8645;1,423313182;0
Retusa_obtusa;33,3685;0,2445;0,9677;1,2325;2,4447;0;0
Retusa_spp;1,7722;0,0126;0,0416;0,0716;0,1258;0;0
Eteone_spp;0,2633;8,00E-04;0,0087;0,0012;0,0107;0,000728571;0
Tubificoides_benedii;4,3341;0,013;0,1262;0,0639;0,2032;0,019682955;0
Ampharete_spp;2,3636;0,0071;0,0688;0,0349;0,1108;0;0
Nephtys_spp;16,1242;0,1774;0,1684;0,6129;0,9587;0;0
susPOC;3,651798;0;0;0;0;9,958530421;0
sedPOC;297,2700587;0;0;0;0;173,3438142;0
DOC;35,289252;0;0;0;0;272,762748;0
